,Nama,Parti,Jawatan dalam Parlimen,Jawatan dalam Kabinet,Tempat Duduk,Parlimen,Kawasan,Negeri,No. Telefon,No. Faks,Email,Alamat Surat-menyurat,image_URL,,MAKLUMAT,Media Sosial
125,YB DATUK SERI SAIFUDDIN NASUTION BIN ISMAIL,PH - PKR,,,G-6,P018,KULIM-BANDAR BAHARU,Kedah,,,saifuddinnasution@yahoo.com,"A-1-5, Cita Kondo Damansara,Jalan PJU 3/27,Sunway Damansara,47810 Petaling Jaya, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.018-Kulim Bandar Baru.png,,MAKLUMAT,
126,YB DATUK IGNATIUS DORELL LEIKING,WARISAN,,,F-10,P174,PENAMPANG,Sabah,,088-716993,dl.mppenampang@gmail.com,"Pusat Khidmat Rakyat Parlimen Penampang,Lot No.22,Tingkat 1, Golden Plaza,88500 Penampang,Sabah.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.174-PENAMPANG.png,,MAKLUMAT,
127,YB TUAN KHALID BIN ABD SAMAD,PH - AMANAH,,,G-17,P108,SHAH ALAM,Selangor,03-55238787,03-55198117,tokkhalid@gmail.com,"1B, Tingkat 2, Blok 1, World Wide Business Centre, Jalan Tinju 13/50,Seksyen 13, Shah Alam, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.108-SHAH ALAM.png,,MAKLUMAT,
128,YB TUAN CHOW KON YEOW,PH - DAP,,,F-4,P049,TANJONG,Pulau Pinang,04-2260218,04-2260218,chowkonyeow@penang.gov.my,"Pusat Khidmat Ahli Parlimen Tanjong, No. 14-F, Jalan Arratoon, 10050 Pulau Pinang",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.049-TANJONG.png,,MAKLUMAT,
129,YB DATUK SERI HAJI SHAMSUL ISKANDAR @ YUSRE BIN HAJI MOHD AKIN,PH - PKR,,,G-23,P137,HANG TUAH JAYA,Melaka,06-2860137,06-2861137,shamsuliskandar@gmail.com,"49-1, JALAN BPM 1, TAMAN BUKIT PIATU MUTIARA, 75150 MELAKA.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.137-HANG TUAH JAYA.png,,MAKLUMAT,
130,YB DATUK SERI DR. HAJI DZULKEFLY BIN AHMAD,PH - AMANAH,,,E-35,P096,KUALA SELANGOR,Selangor,,,arrawdah@gmail.com,"12, Jalan Topaz 7/4,Seksyen 7, 40000, Shah Alam, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.096-KUALA SLEANGOR.png,,MAKLUMAT,
131,YB TUAN M. KULASEGARAN A/L V. MURUGESON,PH - DAP,,,F-5,P065,IPOH BARAT,Perak,05-5253001,05-5062708,ipoh2010@yahoo.com,"No.1, Jalan Tun Abdul Razak(Maxwel Road), Taman Idris,30100 Ipoh, Perak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.065-IPOH BARAT.png,,MAKLUMAT,
132,YB DATO' JOHARI BIN ABDUL,PH - PKR,,,G-11,P015,SUNGAI PETANI,Kedah,04-4317366,04-4317351,johariabdul555@gmail.com,"No.1, Lorong BLM 5/26, Bandar Laguna Merbok, 08000 Sg. Petani, Kedah",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.015-Sungai Petani.png,,MAKLUMAT,
133,YB DATUK MOHD AZIS BIN JAMMAN,WARISAN,,,G-21,P171,SEPANGGAR,Sabah,010-5472921,,azisjms@yahoo.com,"Lot 10, B-1-2, Alamesra Plaza Utama,Jalan Sulaman,88400 Kota Kinabalu, Sabah.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.171-SEPANGGAR.png,,MAKLUMAT,
134,YB DATO' MAHFUZ BIN HAJI OMAR,PH - AMANAH,,,F-13,P008,POKOK SENA,Kedah,,,mahfuz4555@yahoo.com,"No.11, Taman Al Walid, Jalan Langgar,05460, Alor Setar, Kedah Darul Aman.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.008-Pokok Sena.png,,MAKLUMAT,
135,YB TENGKU ZULPURI SHAH BIN RAJA PUJI,PH - DAP,,,G-20,P080,RAUB,Pahang,09-3551880,09-3551880,tengkuzulpuri@gmail.com,"Lot 149E, Jalan Gajah 8, Kampung Kubu,47000 Sungai Buloh, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.080-RAUB.png,,MAKLUMAT,
136,YB TUAN NIK NAZMI BIN NIK AHMAD,PH - PKR,,,E-17,P118,SETIAWANGSA,Kuala Lumpur,03-41314293,,niknazmi@niknazmi.com,"Pusat Khidmat Rakyat Parlimen Setiawangsa No 3-1, Rampai Business Park, Jalan Niaga 5, 53300 Kuala Lumpur.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.118-SETIAWANGSA.png,,MAKLUMAT,
137,YB PUAN ISNARAISSAH MUNIRAH BT MAJILIS @ FAKHARUDY,WARISAN,,,E-52,P169,KOTA BELUD,Sabah,088-973991,,munirahmajilis@yahoo.com/ parlimen169@gmail.com,"Pusat Khidmat Rakyat Parlimen Kota Belud, Lot 19, First Floor, Block C, Kompleks Alapbana,89158 Kota Belud, Sabah.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.169-KOTA BELUD.png,,MAKLUMAT,
138,YB DATUK WIRA HAJI MOHD. ANUAR MOHD. TAHIR,PH - AMANAH,,,E-57,P088,TEMERLOH,Pahang,03-62421511,03-62421577,sekretariat@amanah.org.my,"Wisma Amanah Negara,No.73-1,Tingkat 1, Jalan Seri Utara,Off Jalan Ipoh,68100 Kuala Lumpur.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.088-TEMERLOH.png,,MAKLUMAT,
139,YB TUAN LIM GUAN ENG,PH - DAP,,,G-3,P043,BAGAN,Pulau Pinang,,,limguaneng@gmail.com,"No.25, Pinhorn Road,Georgetown,11600 Penang.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.043-BAGAN.png,,MAKLUMAT,
140,YB DATO' ABDULLAH SANI BIN ABDUL HAMID,PH - PKR,,,F-17,P109,KAPAR,Selangor,03-33625544,03-33596111,mpkapar109@gmail.com,"Pejabat Parlimen Kapar, 50-G (Ground) & 50-2 (2nd Floor) Jalan Sungai Agas 6A/KU3, Taman Sungai Pinang 42100 Klang Selangor",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.109-KAPAR.png,,MAKLUMAT,
141,YB TUAN MA'MUN BIN SULAIMAN,WARISAN,,,E-60,P191,KALABAKAN,Sabah,089-777191,,mamunsulaiman1965@gmail.com,"TB4044, Taman Berkeley KM2, Jalan Apas, 91000 Tawau, Sabah",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.191-KALABAKAN.png,,MAKLUMAT,
142,YB DATUK WIRA DR. MOHD HATTA BIN MD RAMLI,PH - AMANAH,,,E-23,P074,LUMUT,Perak,,,benramli2000@yahoo.com,"3441, Persiaran Kasawari 1, Desa Haras, Hulu Klang,68000 Ampang,Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.074-LUMUT.png,,MAKLUMAT,
143,YB PUAN TERESA KOK,PH - DAP,,,F-7,P122,SEPUTEH,Kuala Lumpur,03-79836768,03-79837576,ybteresakok1@gmail.com,"28-3A, Tingkat 4, Sri Desa Entrepreneur's Park, Jalan Kuchai Maju, 58200 KUALA LUMPUR.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.122-SEPUTEH.png,,MAKLUMAT,
144,YB TUAN AHMAD FAHMI BIN MOHAMED FADZIL,PH - PKR,,,G-25,P121,LEMBAH PANTAI,Kuala Lumpur,03-22422757/2758/2759,03-22422755,fahmi@fahmifadzil.com,"Pejabat Ahli Parlimen Lembah Pantai,Unit 1-13,Centrio Pantai Hillpark,No.1, Jalan Pantai Murni,Kg.Kerinci,59200 KUALA LUMPUR.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.121-LEMBAH PANTAI.png,,MAKLUMAT,
145,YB TUAN HAJI AHMAD BIN HASSAN,WARISAN,,,D-57,P175,PAPAR,Sabah,,,ahfeeraahmad@yahoo.com,"HSE No. 40, Lorong 1, Taman Sahabat, 88300 Penampang, Sabah.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.175-PAPAR.png,,MAKLUMAT,
146,YB TUAN MOHAMED HANIPA BIN MAIDIN,PH - AMANAH,,,G-26,P113,SEPANG,Selangor,,,hanipamaidin12@gmail.com,"No.23, Jalan SG 1/29, Taman Sri Gombak, 68100 Batu Caves, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.113-SEPANG.png,,MAKLUMAT,
147,YB TUAN NGA KOR MING,PH - DAP,,,G-13,P076,TELUK INTAN,Perak,05-2531532,05-2535803,dapperak@gmail.com,"48, Medan Istana 1, Bandar Ipohraya, 30000 Ipoh, Perak",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.076-TELUK INTAN.png,,MAKLUMAT,
148,YB PUAN FUZIAH BINTI SALLEH,PH - PKR,,,G-16,P083,KUANTAN,Pahang,09-5130518,,pejparlimenp083@gmail.com,"PEJABAT AHLI PARLIMEN KUANTAN, A-3,TINGKAT 1, KUANTAN AVENUE, JALAN BESERAH, 25150 KUANTAN, PAHANG DARUL MAKMUR.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.083-KUANTAN.png,,MAKLUMAT,
149,YB DATUK ROZMAN BIN ISLI,WARISAN,,,D-58,P166,LABUAN,Labuan,087-504094,,rozmanisli@gmail.com,"Lot F02,Tingkat 1, Terminal Feri Antarabangsa Labuan,87008 Wilayah Persekutuan Labuan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.166-LABUAN.png,,MAKLUMAT,
150,YB DATUK HAJI HASANUDDIN BIN MOHD YUNUS,PH - AMANAH,,,E-14,P101,HULU LANGAT,Selangor,03-87411117,03-62071547,parlimen.hululangat@amanah.org.my,No. 29 Jalan TTDI Grove 7/1 Seksyen 9 Taman TTDI Grove 43000 Kajang Selangor,https://www.parlimen.gov.my//images/webuser/ahli/2013/P.101-HULU LANGAT.png,,MAKLUMAT,
151,YB TUAN SIVAKUMAR VARATHARAJU NAIDU,PH - DAP,,,G-28,P066,BATU GAJAH,Perak,05-2882105,05-2882105,sivakumarmpbg@gmail.com,"Pusat Khidmat Masyarakat Parlimen Batu Gajah, No. 42A Laluan Saujana 1, Taman Saujana, 31000 Batu Gajah,Perak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.066-BATU GAJAH.png,,MAKLUMAT,
152,YB TUAN FONG KUI LUN,PH - DAP,,,G-10,P120,BUKIT BINTANG,Kuala Lumpur,03-21412762,03-21449440,kuilun@yahoo.com / dapbukitbintang@gmail.com,"8A, Lorong Brunei 2, Off Jalan Pudu, 55100 Kuala Lumpur",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.120-BUKIT BINTANG.png,,MAKLUMAT,
153,YB TUAN SIVARASA A/L K. RASIAH,PH - PKR,,,F-15,P107,SUNGAI BULOH,Selangor,03-61571842,,sivarasa.rasiah@gmail.com,"No.3, Jalan 14/51, 46100 Petaling Jaya, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.107-SUNGAI BULOH.png,,MAKLUMAT,
154,YB DATUK DR. HASAN BIN BAHROM,PH - AMANAH,,,D-43,P133,TAMPIN,Negeri Sembilan,06-4410196,06-4410196,hasanbahrom@gmail.com,"Pusat Khidmat Masyarakat Ahli Parlimen Tampin, No. 41, Tingkat Satu, Jalan Besar Tampin, 73000 Tampin, Negeri Sembilan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.133-TAMPIN.png,,MAKLUMAT,
155,YB DATO' NGEH KOO HAM,PH - DAP,,,G-24,P068,BERUAS,Perak,019-5506773,,ngehkooham@gmail.com,"Lot 1935, Kampung Baru, 32400 Ayer Tawar, Perak Darul Ridzwan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.068-BERUAS.png,,MAKLUMAT,
156,YB TUAN WILLIAM LEONG JEE KEEN,PH - PKR,,,F-11,P097,SELAYANG,Selangor,03-6138 8088,03-6138 8088,wileong97@gmail.com,"Pusat Khidmat Rakyat Parlimen Selayang No. 16A, Jalan 2/12 Dataran Templer, 68100 Batu Caves, Selangor.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.097-SELAYANG.png,,MAKLUMAT,
157,YB TUAN LOKE SIEW FOOK,PH - DAP,,,F-12,P128,SEREMBAN,Negeri Sembilan,06-7634525,06-7646610,siewfook@gmail.com / mpseremban128@gmail.com,"No.447,Tingkat Bawah, Jalan Tun Dr. Ismail,70200 Seremban, Negeri Sembilan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.128-SEREMBAN.png,,MAKLUMAT,
158,YB DR. LEE BOON CHYE,PH - PKR,,,F-8,P071,GOPENG,Perak,05-3110656,05-3110656,parlimen.gopeng@gmail.com,"Pusat Khidmat Rakyat Parlimen Gopeng 78, Lebuh Lapangan Siber 2, Bandar Cyber, 31350 Ipoh, Perak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.071-GOPENG.png,,MAKLUMAT,
159,YB TUAN SU KEONG SIONG,PH - DAP,,,E-40,P070,KAMPAR,Perak,05-4684611,05-3216186,mr.thomassu@gmail.com,"No. 11A, Laluan Batu Sinar 2, Kampar Sentral, Kampar 31900, Perak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.070-KAMPAR.png,,MAKLUMAT,
160,YB TUAN SIM TZE TZIN,PH - PKR,,,E-31,P052,BAYAN BARU,Pulau Pinang,04-6553088,04-6553088,bayanbarump@gmail.com,"No.19, Jalan Sungai Dua,11709, Gelugor, Pulau Pinang.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.052-BAYAN BARU.png,,MAKLUMAT,
161,YB TUAN KHOO POAY TIONG,PH - DAP,,,E-25,P138,KOTA MELAKA,Melaka,06-2644945/0111-0660567,,ptkhoo70@gmail.com,"12, Jalan KLJ 8, Taman Kota Laksamana Jaya, 75200 Melaka.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.138-KOTA MELAKA.png,,MAKLUMAT,
162,YB DR. AZMAN BIN ISMAIL,PH - PKR,,,E-10,P010,KUALA KEDAH,Kedah,,,pkked2@gmail.com,"410, Jalan Kenanga 10, Taman Seri Ampang, 05050 Alor Setar, Kedah Darul Aman.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.010-Kuala Kedah.png,,MAKLUMAT,
163,YB TUAN TONY PUA KIAM WEE,PH - DAP,,,G-18,P106,DAMANSARA,Selangor,03-77260441,03-77260443,tonypua@yahoo.com,"55-M, Jalan SS 21/1A, Damansara Utama, 47400 Petaling Jaya, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.106-DAMANSARA.png,,MAKLUMAT,
164,YB PUAN NURUL IZZAH BINTI ANWAR,PH - PKR,,,F-3,P044,PERMATANG PAUH,Pulau Pinang,04-5221463,04-5211141,mp@nurulizzah.com,"Pusat Khidmat Rakyat Permatang Pauh, Bangunan Yayasan Aman Kubang Semang 14400 Pulau Pinang",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.044-PERMATANG PAUH.png,,MAKLUMAT,
165,YB PUAN YEO BEE YIN,PH - DAP,,,F-20,P145,BAKRI,Johor,06-9592116,,yeobeeyindap@gmail.com,"Pusat Khidmat Rakyat Parlimen Bakri,No.20, Tingkat 2, Jalan Mega 1, Pusat Perdagangan Mega, Jalan Fakeh, 84000 Muar, Johor Darul Takzim.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.145-BAKRI.png,,MAKLUMAT,
166,YB DR. MICHAEL TEO YU KENG,PH - PKR,,,G-19,P219,MIRI,Sarawak,085-414625,085-425512,mic4848@hotmail.com,"Pusat Khidmat Parlimen Miri,Lot 1158,Jalan Sri Dagang, Tingkat Dua, Water front Commercial Centre, 98000 Miri, Sarawak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.219-MIRI.png,,MAKLUMAT,
167,YB DR. ONG KIAN MING,PH - DAP,,,F-18,P102,BANGI,Selangor,03-87401108,03-87401108,ongkianming.office@gmail.com / im.ok.man@gmail.com,"67A, Tingkat 1, Taman Sri Reko,Jalan Reko,43000 Kajang, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.102-BANGI.png,,MAKLUMAT,
168,YB DATIN PADUKA DR. TAN YEE KEW,PH - PKR,,,F-6,P116,WANGSA MAJU,Kuala Lumpur,03-41444342,,wangsamaju.tyk@gmail.com,"20-2, Tingkat 2, Blok B,Platinum Walk, Jalan Ibukota Off Jalan Genting Klang, Wangsa Maju,53300 Kuala Lumpur.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.116-WANGSA MAJU.png,,MAKLUMAT,
169,YB PUAN TEO NIE CHING,PH - DAP,,,G-22,P163,KULAI,Johor,07-6639842,,teonieching.office@gmail.com,"Pusat Khidmat Rakyat Parlimen Kulai, 58-4, Jalan Tropika 1, Taman Tropika, 81000 Kulai, Johor Darul Takzim.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.163-KULAI.png,,MAKLUMAT,
170,YB TUAN WONG CHEN,PH - PKR,,,F-19,P104,SUBANG,Selangor,03-80807918,03-80824919,mp@wongchen.com,"Pusat Khidmat Rakyat Parlimen Subang, No.2-12, Jalan Cenuk 1, Bandar Puchong Jaya, 47100 Puchong, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.104-SUBANG.png,,MAKLUMAT,
171,YB TUAN LIM KIT SIANG,PH - DAP,,,G-5,P162,ISKANDAR PUTERI,Johor,03-92005000,03-92007000,limkitsiang@gmail.com,"Ibu Pejabat Kebangsaan Parti Tindakan Demokratik, Jalan Yew, 55100 Kuala Lumpur.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.162-ISKANDAR PUTERI.png,,MAKLUMAT,
172,YB PUAN MARIA CHIN BINTI ABDULLAH,PH - PKR,,,E-50,P105,PETALING JAYA,Selangor,03-77725931,TIADA,mariaparlimen@gmail.com,"Pejabat Ahli Parlimen P105 Petaling Jaya, No.60-1(First Floor), Jalan PJS 1/50, Petaling Utama Avenue, 46150 Petaling Jaya, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/Petaling Jaya.png,,MAKLUMAT,
173,YB TUAN WONG KAH WOH,PH - DAP,,,E-19,P064,IPOH TIMUR,Perak,05-5482907,05-5482907,mp.wongkahwoh@gmail.com,"Wisma Impianan @ No. 574 Jalan Pasar, Kampung Simee, 31400 Ipoh, Perak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.064-IPOH TIMUR.png,,MAKLUMAT,
174,YB DATUK LIEW CHIN JIN,PH - PKR,,,E-27,P190,TAWAU,Sabah,088-247452,088-247453,ybchristinaliew@gmail.com,"No. 602, Jalan Sang Kancil Satu, 88300 Kota Kinabalu, Sabah",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.190-TAWAU.png,,MAKLUMAT,
175,YB TUAN LIM LIP ENG,PH - DAP,,,E-33,P114,KEPONG,Kuala Lumpur,03-62428606,03-62423606,parlimenkepong@gmail.com,"G4 & 1-4, Vista Magna,Jalan Prima 1,Metro Prima,Jalan Kepong,52100 Kuala Lumpur.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.114-KEPONG.png,,MAKLUMAT,
176,YB TUAN SYED IBRAHIM BIN SYED NOH,PH - PKR,,,E-15,P144,LEDANG,Johor,013-6944462,,syed1820@gmail.com,"Tingkat 1, No. 6A, Taman Emas, Jalan Sialang, 84900 Tangkak, Johor Darul Takzim.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.144-LEDANG.png,,MAKLUMAT,
177,YB TUAN CHARLES ANTHONY SANTIAGO,PH - DAP,,,E-29,P110,KLANG,Selangor,603-33232122,603-33243096,charlessantiago@gmail.com,"No. 2A Jalan Bayu Tinggi 8/KS6, Batu Unjur, 41200 Klang, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.110-KLANG.png,,MAKLUMAT,
178,YB TUAN KESAVAN A/L SUBRAMANIAM,PH - PKR,,,D-49,P062,SUNGAI SIPUT,Perak,05-5980062,05-5981062,kesavan.sgsiput@gmail.com,"Lot No.81, Batu 10, Jalan Hutan Melintang 36400, Hutang Melintang, Perak",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.062-SUNGAI SIPUT.png,,MAKLUMAT,
179,YB PUAN ALICE LAU KIONG YIENG,PH - DAP,,,F-16,P211,LANANG,Sarawak,084-336671,084-318219,alicelky81@gmail.com,"No.7, Jalan Sebuyau, 96000 Sibu, Sarawak",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.211-LANANG.png,,MAKLUMAT,
180,YB TUAN CHANG LIH KANG,PH - PKR,,,G-12,P077,TANJONG MALIM,Perak,05-4520221,05-3213014,changlihkang@gmail.com,"7, Persiaran Bunga Saroja 3, Taman Melor, 31650 Ipoh, Perak Darul Ridzwan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.077-TANJONG MALIM.png,,MAKLUMAT,
181,YB PUAN KASTHURIRAANI A/P PATTO,PH - DAP,,,E-16,P046,BATU KAWAN,Pulau Pinang,04-5681638,04-5681637,kasthuripatto1638@gmail.com,"Pusat Khidmat Rakyat Parlimen Batu Kawan, No.12, Jalan Bukit Tambun, Taman Kasawari, 14100 Simpang Ampat, Pulau Pinang.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.046-BATU KAWAN.png,,MAKLUMAT,
182,YB PUAN NOR AZRINA BINTI SURIP,PH - PKR,,,F-21,P014,MERBOK,Kedah,04-4445110,,nurin.parlimenmerbok@gmail.com,"No. 59, Lorong BLM 6/2, Bandar Laguna Merbok, 08000, Sg. Petani, Kedah Darul Aman.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.014-Merbok.png,,MAKLUMAT,
183,YB TUAN OSCAR LING CHAI YEW,PH - DAP,,,E-44,P212,SIBU,Sarawak,084-322001,084-322001,oscarling1977@gmail.com,"No. 67, 1st & 2nd Floor, Rejang Park Commercial Centre, 96000 Sibu, Sarawak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.212-SIBU.png,,MAKLUMAT,
184,YB TUAN WONG LING BIU,PH - DAP,,,E-58,P208,SARIKEI,Sarawak,084-653608,084-653608,lingbiuandrewwong@gmail.com,"No. 3, Jalan Tung Yee 2, 96100 Sarikei, Sarawak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.208-SARIKEI.png,,MAKLUMAT,
185,YB PUAN JUNE LEOW HSIAD HUI,PH - PKR,,,E-41,P094,HULU SELANGOR,Selangor,03-60909520,03-60909520,huluselangorp094@gmail.com,"No.15, Jalan Helikonia, Pusat Perniagaan Helikonia,Sungai Choh, 48000 Rawang, Selangor Darul Ehsan.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.094-HULU SELANGOR.png,,MAKLUMAT,
186,YB TUAN RAMKARPAL SINGH A/L KARPAL SINGH,PH - DAP,,,E-13,P051,BUKIT GELUGOR,Pulau Pinang,,,ramkarpalbg@gmail.com,"No. 144A Jalan Utama, 10450 Georgetown, Pulau Pinang",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.051-BUKIT GELUGOR.png,,MAKLUMAT,
187,YB TUAN HAJI AKMAL NASRULLAH BIN MOHD NASIR,PH - PKR,,,G-15,P160,JOHOR BAHRU,Johor,011-64103206,,khidmatrakyatjb@gmail.com,"Pusat Khidmat Rakyat Johor Bahru,No.50-01,Jalan Idaman 3, Taman Larkin Idaman, 80350 Johor Bahru.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.160-JOHOR BAHRU.png,,MAKLUMAT,
188,YB TUAN CHAN FOONG HIN,PH - DAP,,,E-9,P172,KOTA KINABALU,Sabah,088-205164,088-205164,chanfoonghin@gmail.com,"Pusat Khidmat Rakyat Parlimen P.172 Kota Kinabalu, Hse No. 106, Lot 78, Lorong Kijang Luyang Fasa 3, Jalan Kolam, 88300 Kota Kinabalu, SABAH.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.172-KOTA KINABALU.png,,MAKLUMAT,
189,YB TUAN CHAN MING KAI,PH - PKR,,,E-12,P009,ALOR SETAR,Kedah,04-7302938,,parlimen.alorsetar@gmail.com,"315B, Jalan Tengah, Off Jalan Putra, 05100 Alor Setar, Kedah Darul Aman.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.009-Alor Setar.png,,MAKLUMAT,
190,YB TUAN SIM CHEE KEONG,PH - DAP,,,E-11,P045,BUKIT MERTAJAM,Pulau Pinang,04-5381226,,stevensim.office@gmail.com,"BUKIT MERTAJAM SERVICE CENTRE, G-10 PRECINT 1 @ SUNWAY WELLESLEY, JALAN MUTHU PALANIAPAN,14000 BUKIT MERTAJAM, PULAU PINANG.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.045-BUKIT MERTAJAM.png,,MAKLUMAT,
191,YB TUAN NOOR AMIN BIN AHMAD,PH - PKR,,,E-46,P002,KANGAR,Perlis,04-9762018,,mpkangar14@gmail.com,"25(Tingkat Atas), Jalan Sena Indah,Taman Sena Indah,01000 Kangar, Perlis",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.002-Kangar.png,,MAKLUMAT,
192,YB PUAN HANNAH YEOH,PH - DAP,,,F-22,P117,SEGAMBUT,Kuala Lumpur,03-97716864,03-97716865,hannah@hannahyeoh.com,"Pusat Khidmat Rakyat Ahli Parlimen Segambut P117, Lot LG-09A, Level LG, United Point, 10, Jalan Lang Emas, 51200 Kuala Lumpur.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.117-SEGAMBUT.png,,MAKLUMAT,
193,YB TUAN KARUPAIYA A/L MUTUSAMI,PH - PKR,,,D-55,P017,PADANG SERAI,Kedah,04-4845104,04-4845104,mkaru.apps@gmail.com,"143, Jalan Cendawan 6, Taman Bayam, 09600 Lunas, Kedah",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.017-Padang Serai.png,,MAKLUMAT,
194,YB TUAN MORDI BIMOL,PH - DAP,,,E-53,P192,MAS GADING,Sarawak,082-764178,,mordibimol@gmail.com,"Aras 1, Lot 731, Blok A, Pekan Bau,94000 Kuching, Sarawak.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.192-MAS GADING.png,,MAKLUMAT,
195,YB PUAN RUSNAH BINTI ALUAI,PH - PKR,,,D-41,P136,TANGGA BATU,Melaka,06-3370404,06-3370440,rusnahp136@gmail.com,"PUSAT KHIDMAT RAKYAT PARLIMEN TANGGA BATU, No.31, Jalan PE 3, Taman Paya Emas, 76450 Paya Rumput, Melaka.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.136-TANGGA BATU.png,,MAKLUMAT,
196,YB TUAN WONG TACK,PH - DAP,,,E-48,P089,BENTONG,Pahang,,,wongtack2018@gmail.com,"No. 40 B, Tingkat Atas, Jalan Chui Yin, 28700 Bentong, Pahang Darul Makmur.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.089-BENTONG.png,,MAKLUMAT,
197,YB PUAN HAJAH NATRAH ISMAIL,PH - PKR,,,D-39,P141,SEKIJANG,Johor,07-9431682,07-9431813,admin@pkrsekijang.com,"No.19,Jalan Desa 1, Taman Desa, 85000 Segamat,Johor.",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.141-SEKIJANG.png,,MAKLUMAT,
198,YB DR. KELVIN YII LEE WUEN,PH - DAP,,,D-45,P195,BANDAR KUCHING,Sarawak,082-335531,,kelvinyiidap@gmail.com,"97, Lorong Abang Abdul Rahim 5A, 93450 Kuching, Sarawak",https://www.parlimen.gov.my//images/webuser/ahli/2013/P.195-BANDAR KUCHING.png,,MAKLUMAT,
